angle,azimuth_db,elevation_db
0,7.0000,6.0000
1,6.9990,5.9991
2,6.9960,5.9963
3,6.9910,5.9918
4,6.9840,5.9854
5,6.9750,5.9771
6,6.9640,5.9670
7,6.9509,5.9551
8,6.9359,5.9412
9,6.9188,5.9255
10,6.8997,5.9079
11,6.8786,5.8884
12,6.8554,5.8670
13,6.8302,5.8436
14,6.8029,5.8182
15,6.7735,5.7909
16,6.7421,5.7616
17,6.7085,5.7302
18,6.6729,5.6968
19,6.6352,5.6612
20,6.5953,5.6236
21,6.5533,5.5838
22,6.5091,5.5419
23,6.4628,5.4978
24,6.4143,5.4514
25,6.3636,5.4027
26,6.3107,5.3518
27,6.2556,5.2985
28,6.1983,5.2429
29,6.1387,5.1848
30,6.0769,5.1244
31,6.0127,5.0614
32,5.9463,4.9959
33,5.8776,4.9279
34,5.8066,4.8573
35,5.7332,4.7841
36,5.6575,4.7082
37,5.5795,4.6296
38,5.4990,4.5483
39,5.4162,4.4642
40,5.3310,4.3773
41,5.2433,4.2876
42,5.1533,4.1950
43,5.0608,4.0994
44,4.9659,4.0010
45,4.8685,3.8995
46,4.7686,3.7950
47,4.6663,3.6875
48,4.5615,3.5769
49,4.4542,3.4632
50,4.3444,3.3463
51,4.2321,3.2263
52,4.1174,3.1031
53,4.0001,2.9767
54,3.8803,2.8470
55,3.7580,2.7141
56,3.6332,2.5779
57,3.5059,2.4384
58,3.3761,2.2956
59,3.2438,2.1495
60,3.1090,2.0000
61,2.9717,1.8472
62,2.8320,1.6910
63,2.6898,1.5314
64,2.5451,1.3685
65,2.3980,1.2022
66,2.2484,1.0326
67,2.0965,0.8596
68,1.9422,0.6832
69,1.7854,0.5034
70,1.6264,0.3204
71,1.4650,0.1340
72,1.3013,-0.0557
73,1.1353,-0.2487
74,0.9671,-0.4450
75,0.7967,-0.6445
76,0.6240,-0.8472
77,0.4493,-1.0531
78,0.2724,-1.2621
79,0.0934,-1.4743
80,-0.0876,-1.6895
81,-0.2706,-1.9078
82,-0.4556,-2.1291
83,-0.6425,-2.3532
84,-0.8312,-2.5803
85,-1.0218,-2.8102
86,-1.2141,-3.0429
87,-1.4082,-3.2783
88,-1.6039,-3.5163
89,-1.8012,-3.7569
90,-2.0000,-4.0000
91,-2.2003,-4.2456
92,-2.4021,-4.4935
93,-2.6052,-4.7437
94,-2.8096,-4.9961
95,-3.0152,-5.2506
96,-3.2220,-5.5071
97,-3.4299,-5.7656
98,-3.6388,-6.0259
99,-3.8486,-6.2880
100,-4.0593,-6.5517
101,-4.2708,-6.8170
102,-4.4830,-7.0837
103,-4.6958,-7.3517
104,-4.9092,-7.6210
105,-5.1230,-7.8914
106,-5.3373,-8.1628
107,-5.5518,-8.4351
108,-5.7665,-8.7082
109,-5.9814,-8.9819
110,-6.1963,-9.2562
111,-6.4111,-9.5309
112,-6.6258,-9.8058
113,-6.8403,-10.0809
114,-7.0544,-10.3561
115,-7.2681,-10.6311
116,-7.4813,-10.9059
117,-7.6939,-11.1803
118,-7.9058,-11.4542
119,-8.1168,-11.7275
120,-8.3270,-12.0000
121,-8.5362,-12.2716
122,-8.7442,-12.5421
123,-8.9511,-12.8115
124,-9.1567,-13.0795
125,-9.3608,-13.3460
126,-9.5635,-13.6110
127,-9.7646,-13.8741
128,-9.9640,-14.1354
129,-10.1617,-14.3947
130,-10.3574,-14.6517
131,-10.5512,-14.9065
132,-10.7429,-15.1588
133,-10.9324,-15.4085
134,-11.1196,-15.6554
135,-11.3045,-15.8995
136,-11.4869,-16.1406
137,-11.6667,-16.3785
138,-11.8439,-16.6131
139,-12.0184,-16.8443
140,-12.1900,-17.0719
141,-12.0154,-17.2959
142,-11.8439,-17.5160
143,-11.6674,-17.7322
144,-11.4861,-17.9443
145,-11.3003,-18.1522
146,-11.1103,-18.3557
147,-10.9165,-18.5549
148,-10.7193,-18.7494
149,-10.5190,-18.9393
150,-10.3162,-19.1244
151,-10.1113,-18.2917
152,-9.9049,-17.4858
153,-9.6974,-16.7081
154,-9.4895,-15.9586
155,-9.2817,-15.2375
156,-9.0747,-14.5446
157,-8.8691,-13.8801
158,-8.6656,-13.2438
159,-8.4648,-12.6357
160,-8.2675,-12.0560
161,-8.0742,-11.5045
162,-7.8857,-10.9814
163,-7.7027,-10.4865
164,-7.5259,-10.0198
165,-7.3558,-9.5815
166,-7.1932,-9.1714
167,-7.0388,-8.7897
168,-6.8930,-8.4362
169,-6.7566,-8.1109
170,-6.6300,-7.8140
171,-6.5138,-7.5453
172,-6.4084,-7.3050
173,-6.3144,-7.0929
174,-6.2321,-6.9090
175,-6.1618,-6.7535
176,-6.1039,-6.6262
177,-6.0586,-6.5273
178,-6.0261,-6.4566
179,-6.0065,-6.4141
180,-6.0000,-6.4000
181,-6.0065,-6.4141
182,-6.0261,-6.4566
183,-6.0586,-6.5273
184,-6.1039,-6.6262
185,-6.1618,-6.7535
186,-6.2321,-6.9090
187,-6.3144,-7.0929
188,-6.4084,-7.3050
189,-6.5138,-7.5453
190,-6.6300,-7.8140
191,-6.7566,-8.1109
192,-6.8930,-8.4362
193,-7.0388,-8.7897
194,-7.1932,-9.1714
195,-7.3558,-9.5815
196,-7.5259,-10.0198
197,-7.7027,-10.4865
198,-7.8857,-10.9814
199,-8.0742,-11.5045
200,-8.2675,-12.0560
201,-8.4648,-12.6357
202,-8.6656,-13.2438
203,-8.8691,-13.8801
204,-9.0747,-14.5446
205,-9.2817,-15.2375
206,-9.4895,-15.9586
207,-9.6974,-16.7081
208,-9.9049,-17.4858
209,-10.1113,-18.2917
210,-10.3162,-19.1244
211,-10.5190,-18.9393
212,-10.7193,-18.7494
213,-10.9165,-18.5549
214,-11.1103,-18.3557
215,-11.3003,-18.1522
216,-11.4861,-17.9443
217,-11.6674,-17.7322
218,-11.8439,-17.5160
219,-12.0154,-17.2959
220,-12.1900,-17.0719
221,-12.0184,-16.8443
222,-11.8439,-16.6131
223,-11.6667,-16.3785
224,-11.4869,-16.1406
225,-11.3045,-15.8995
226,-11.1196,-15.6554
227,-10.9324,-15.4085
228,-10.7429,-15.1588
229,-10.5512,-14.9065
230,-10.3574,-14.6517
231,-10.1617,-14.3947
232,-9.9640,-14.1354
233,-9.7646,-13.8741
234,-9.5635,-13.6110
235,-9.3608,-13.3460
236,-9.1567,-13.0795
237,-8.9511,-12.8115
238,-8.7442,-12.5421
239,-8.5362,-12.2716
240,-8.3270,-12.0000
241,-8.1168,-11.7275
242,-7.9058,-11.4542
243,-7.6939,-11.1803
244,-7.4813,-10.9059
245,-7.2681,-10.6311
246,-7.0544,-10.3561
247,-6.8403,-10.0809
248,-6.6258,-9.8058
249,-6.4111,-9.5309
250,-6.1963,-9.2562
251,-5.9814,-8.9819
252,-5.7665,-8.7082
253,-5.5518,-8.4351
254,-5.3373,-8.1628
255,-5.1230,-7.8914
256,-4.9092,-7.6210
257,-4.6958,-7.3517
258,-4.4830,-7.0837
259,-4.2708,-6.8170
260,-4.0593,-6.5517
261,-3.8486,-6.2880
262,-3.6388,-6.0259
263,-3.4299,-5.7656
264,-3.2220,-5.5071
265,-3.0152,-5.2506
266,-2.8096,-4.9961
267,-2.6052,-4.7437
268,-2.4021,-4.4935
269,-2.2003,-4.2456
270,-2.0000,-4.0000
271,-1.8012,-3.7569
272,-1.6039,-3.5163
273,-1.4082,-3.2783
274,-1.2141,-3.0429
275,-1.0218,-2.8102
276,-0.8312,-2.5803
277,-0.6425,-2.3532
278,-0.4556,-2.1291
279,-0.2706,-1.9078
280,-0.0876,-1.6895
281,0.0934,-1.4743
282,0.2724,-1.2621
283,0.4493,-1.0531
284,0.6240,-0.8472
285,0.7967,-0.6445
286,0.9671,-0.4450
287,1.1353,-0.2487
288,1.3013,-0.0557
289,1.4650,0.1340
290,1.6264,0.3204
291,1.7854,0.5034
292,1.9422,0.6832
293,2.0965,0.8596
294,2.2484,1.0326
295,2.3980,1.2022
296,2.5451,1.3685
297,2.6898,1.5314
298,2.8320,1.6910
299,2.9717,1.8472
300,3.1090,2.0000
301,3.2438,2.1495
302,3.3761,2.2956
303,3.5059,2.4384
304,3.6332,2.5779
305,3.7580,2.7141
306,3.8803,2.8470
307,4.0001,2.9767
308,4.1174,3.1031
309,4.2321,3.2263
310,4.3444,3.3463
311,4.4542,3.4632
312,4.5615,3.5769
313,4.6663,3.6875
314,4.7686,3.7950
315,4.8685,3.8995
316,4.9659,4.0010
317,5.0608,4.0994
318,5.1533,4.1950
319,5.2433,4.2876
320,5.3310,4.3773
321,5.4162,4.4642
322,5.4990,4.5483
323,5.5795,4.6296
324,5.6575,4.7082
325,5.7332,4.7841
326,5.8066,4.8573
327,5.8776,4.9279
328,5.9463,4.9959
329,6.0127,5.0614
330,6.0769,5.1244
331,6.1387,5.1848
332,6.1983,5.2429
333,6.2556,5.2985
334,6.3107,5.3518
335,6.3636,5.4027
336,6.4143,5.4514
337,6.4628,5.4978
338,6.5091,5.5419
339,6.5533,5.5838
340,6.5953,5.6236
341,6.6352,5.6612
342,6.6729,5.6968
343,6.7085,5.7302
344,6.7421,5.7616
345,6.7735,5.7909
346,6.8029,5.8182
347,6.8302,5.8436
348,6.8554,5.8670
349,6.8786,5.8884
350,6.8997,5.9079
351,6.9188,5.9255
352,6.9359,5.9412
353,6.9509,5.9551
354,6.9640,5.9670
355,6.9750,5.9771
356,6.9840,5.9854
357,6.9910,5.9918
358,6.9960,5.9963
359,6.9990,5.9991
360,7.0000,6.0000
